id,lat,lng,base_type,Base64,issue_color,address,reported_date,is_verifed_BMC
662,2101041.890489107,271901.34734302666," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZS1JbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQUFESEFSIEJMREcgU0FORSBHVVJVSkkgTUFSRyBORUFSIFZJS1JBTlQgU0FEQU4gQlVJTERJTkcsQ0hJTkNIUE9LQUxJIDQwMDAxMgogICAgICAgICAgICA=""",Yellow,"<b> BMC verified </b><br>AADHAR BLDG SANE GURUJI MARG NEAR VIKRANT SADAN BUILDING,CHINCHPOKALI 400012",2020-04-18 20:15:08,True
663,2101050.6565510933,271931.26172530575," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZS1JbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgU0hSQU1JSyBOSVdBUyBTQU5FIEdVUlVKSSBNQVJHIENISU5DSFBPS0FMSSA0MDAwMTIKICAgICAgICAgICAg""",Yellow,<b> BMC verified </b><br>SHRAMIK NIWAS SANE GURUJI MARG CHINCHPOKALI 400012,2020-04-18 20:15:08,True
664,18.91736667,72.82833611," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSAyMDIsIE1pc3RyeSBDaGFtYmVyCQkKU3RyYW5kIFJvYWQJCk5lYXIgU3RyYW5kIFJvYWQJCkNvbGFiYQo0MDAwMDUKCgogICAgICAgICAgICA=""",Yellow,"<b> BMC verified </b><br>Add- 202, Mistry Chamber		<br>Strand Road	<br>Near Strand Road	<br>Colaba<br>400005",2020-04-18 20:15:08,True
665,18.91927778,72.82738333," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSAyMDIsIApCYW5kdXMgQ291cnQJCQoxc3QgUGFzdGEgTGFuZQkJCkNvbGFiYQkKNDAwMDA1CgogICAgICAgICAgICA=""",Yellow,"<b> BMC verified </b><br>Add- 202, <br>Bandus Court		<br>1st Pasta Lane		<br>Colaba	<br>400005",2020-04-18 20:15:08,True
666,18.94022222,72.82704722," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCaXJsYSBNYXRvc2hyZWUgUXVhcnRlcnMJCkJvbWJheSBIb3NwaXRhbCBQcmVtaXNlcwkKVml0dGhhbGRhcyBUaGFrcnNpIE1hcmcJCk1hcmluZSBMaW5lcwkKNDAwMDIwCgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- Birla Matoshree Quarters	<br>Bombay Hospital Premises	<br>Vitthaldas Thakrsi Marg	<br>Marine Lines	<br>400020,2020-04-18 20:15:08,True
667,18.95930556,72.83317222," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBLR04gQ0hTCQpJbWFtd2FkYSBSb2FkCQo0MDAwMDkKCiAgICAgICAgICAgIA==""",Yellow,<b> BMC verified </b><br>Add- KGN CHS	<br>Imamwada Road	<br>400009,2020-04-18 20:15:08,True
668,18.96211944,72.83595," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBTYW1zb24gQXB0CQpSYW1jaGFuZHJhIEJoYXR0IE1hcmcKNDAwMDA5CgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- Samson Apt	<br>Ramchandra Bhatt Marg<br>400009,2020-04-18 20:15:08,True
669,18.95540833,72.83476944," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBOb2JlbCBUb3dlcgkKWmFrZXJpYSBNYXNqaWQgU3RyZWV0CjQwMDAwMwogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- Nobel Tower	<br>Zakeria Masjid Street<br>400003,2020-04-18 20:15:08,True
670,18.95488889,72.83106944," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCbGRnIG5vIDEyMwkKQWxpIFVtYXIgc3RyZWV0CQpNYXJpbmUgbGluZXMJCjQwMDAwMwoKICAgICAgICAgICAg""",Yellow,<b> BMC verified </b><br>Add- Bldg no 123	<br>Ali Umar street	<br>Marine lines	<br>400003,2020-04-18 20:15:08,True
671,18.95761667,72.83215833," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBIb3RlbCBkZWxpZ2h0CQpJIFIgcm9hZAkKQmhlbmRpIGJhemFyCk1hcmluZSBsaW5lcwkKNDAwMDAzCgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- Hotel delight	<br>I R road	<br>Bhendi bazar<br>Marine lines	<br>400003,2020-04-18 20:15:08,True
